x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE
22.7 ft,15.3 ft,2,02:37.0,Kevin Durant,MAKE,2,12 ft
13.7 ft,11.5 ft,2,02:06.0,Kevin Durant,MISS,2,13 ft
37.9 ft,7.36 ft,2,00:59.0,Kevin Durant,MAKE,2,15 ft
35.3 ft,26.6 ft,2,00:03.0,Kevin Durant,MAKE,3,26 ft
16.0 ft,9.26 ft,3,09:53.0,Kevin Durant,MISS,2,10 ft
35.3 ft,14.5 ft,3,08:54.0,Kevin Durant,MISS,2,16 ft
14.2 ft,26.5 ft,3,08:26.0,Kevin Durant,MISS,3,25 ft
22.6 ft,4.08 ft,3,05:19.0,Kevin Durant,MISS,2,2 ft
24.7 ft,19.5 ft,4,11:03.0,Kevin Durant,MAKE,2,16 ft
24.9 ft,15.7 ft,4,09:23.0,Kevin Durant,MAKE,2,13 ft
42.3 ft,4.68 ft,4,08:45.0,Kevin Durant,MISS,2,18 ft
35.6 ft,4.58 ft,1,07:59.0,Kevin Durant,MAKE,2,12 ft
23.4 ft,5.97 ft,1,06:58.0,Kevin Durant,MISS,2,3 ft
34.3 ft,2.78 ft,1,06:30.0,Kevin Durant,MISS,2,10 ft
21.7 ft,6.47 ft,1,05:44.0,Kevin Durant,MISS,2,4 ft
37.2 ft,4.08 ft,1,04:14.0,Kevin Durant,MISS,2,13 ft
27.3 ft,29.2 ft,1,02:30.0,Kevin Durant,MISS,3,26 ft
25.7 ft,13.5 ft,1,00:30.0,Kevin Durant,MAKE,2,10 ft
24.4 ft,4.18 ft,2,03:58.0,Kevin Durant,MAKE,2,1 ft
24.9 ft,2.88 ft,2,02:27.0,Kevin Durant,MAKE,2,1 ft
37.1 ft,25.3 ft,3,11:46.0,Kevin Durant,MAKE,3,26 ft
13.1 ft,17.3 ft,3,08:54.0,Kevin Durant,MISS,2,18 ft
16.2 ft,9.45 ft,3,07:22.0,Kevin Durant,MAKE,2,10 ft
35.8 ft,6.27 ft,3,04:48.0,Kevin Durant,MISS,2,12 ft
25.6 ft,3.68 ft,3,03:29.0,Kevin Durant,MAKE,2,2 ft
42.8 ft,20.4 ft,3,03:00.0,Kevin Durant,MISS,3,26 ft
16.7 ft,28.7 ft,4,06:08.0,Kevin Durant,MAKE,3,27 ft
22.7 ft,14.7 ft,4,04:35.0,Kevin Durant,MAKE,2,12 ft
30.5 ft,14.5 ft,4,02:31.0,Kevin Durant,MISS,2,13 ft
23.2 ft,20.2 ft,1,11:15.0,Kevin Durant,MAKE,2,17 ft
36.5 ft,7.96 ft,1,06:59.0,Kevin Durant,MAKE,2,13 ft
25.0 ft,13.0 ft,1,05:25.0,Kevin Durant,MAKE,2,10 ft
23.5 ft,4.58 ft,1,02:59.0,Kevin Durant,MAKE,2,1 ft
21.0 ft,28.8 ft,1,01:57.0,Kevin Durant,MISS,3,26 ft
23.2 ft,10.7 ft,1,01:00.0,Kevin Durant,MAKE,2,8 ft
33.3 ft,27.3 ft,1,00:33.0,Kevin Durant,MAKE,3,26 ft
30.9 ft,11.7 ft,2,02:50.0,Kevin Durant,MISS,2,11 ft
36.3 ft,18.7 ft,3,03:40.0,Kevin Durant,MAKE,2,20 ft
35.8 ft,25.0 ft,4,05:47.0,Kevin Durant,MISS,3,25 ft
18.0 ft,12.0 ft,1,10:35.0,Kevin Durant,MAKE,2,11 ft
33.0 ft,26.6 ft,1,08:42.0,Kevin Durant,MAKE,3,25 ft
24.7 ft,3.08 ft,1,07:54.0,Kevin Durant,MAKE,2,1 ft
33.8 ft,3.28 ft,1,06:02.0,Kevin Durant,MISS,2,10 ft
18.0 ft,11.5 ft,1,02:35.0,Kevin Durant,MISS,2,10 ft
25.5 ft,22.5 ft,2,06:30.0,Kevin Durant,MAKE,2,19 ft
28.2 ft,18.8 ft,2,03:45.0,Kevin Durant,MAKE,2,16 ft
17.2 ft,13.2 ft,2,02:40.0,Kevin Durant,MISS,2,12 ft
23.9 ft,3.58 ft,2,02:25.0,Kevin Durant,MAKE,2,0 ft
34.5 ft,21.2 ft,2,02:09.0,Kevin Durant,MAKE,2,21 ft
26.0 ft,18.3 ft,2,01:23.0,Kevin Durant,MAKE,2,15 ft
35.8 ft,17.2 ft,3,10:53.0,Kevin Durant,MAKE,2,18 ft
34.2 ft,12.7 ft,3,03:38.0,Kevin Durant,MAKE,2,14 ft
31.0 ft,20.5 ft,1,08:40.0,Kevin Durant,MAKE,2,19 ft
21.0 ft,28.8 ft,1,07:37.0,Kevin Durant,MISS,3,26 ft
23.5 ft,2.88 ft,1,07:24.0,Kevin Durant,MAKE,2,1 ft
31.9 ft,11.0 ft,1,05:52.0,Kevin Durant,MISS,2,11 ft
12.7 ft,4.38 ft,1,05:32.0,Kevin Durant,MISS,2,11 ft
27.3 ft,13.3 ft,1,04:25.0,Kevin Durant,MAKE,2,11 ft
35.3 ft,5.17 ft,1,03:13.0,Kevin Durant,MAKE,2,11 ft
23.2 ft,3.18 ft,1,02:16.0,Kevin Durant,MAKE,2,1 ft
24.0 ft,3.18 ft,1,00:40.0,Kevin Durant,MAKE,2,0 ft
23.7 ft,4.38 ft,2,02:41.0,Kevin Durant,MAKE,2,1 ft
24.7 ft,14.8 ft,2,01:44.0,Kevin Durant,MAKE,2,12 ft
24.0 ft,28.2 ft,3,10:50.0,Kevin Durant,MISS,3,25 ft
26.3 ft,12.7 ft,3,09:38.0,Kevin Durant,MISS,2,10 ft
37.6 ft,16.6 ft,3,07:33.0,Kevin Durant,MAKE,2,19 ft
14.7 ft,12.5 ft,3,04:00.0,Kevin Durant,MAKE,2,13 ft
11.7 ft,24.7 ft,3,03:38.0,Kevin Durant,MAKE,3,25 ft
32.3 ft,22.1 ft,3,00:45.0,Kevin Durant,MAKE,2,21 ft
40.8 ft,20.9 ft,3,00:01.0,Kevin Durant,MAKE,3,24 ft
38.8 ft,23.9 ft,4,04:48.0,Kevin Durant,MISS,3,26 ft
1.0 ft,12.2 ft,4,03:56.0,Kevin Durant,MISS,3,25 ft
14.2 ft,22.5 ft,1,10:52.0,Kevin Durant,MISS,2,22 ft
21.2 ft,14.9 ft,1,09:17.0,Kevin Durant,MAKE,2,12 ft
34.2 ft,15.3 ft,1,05:33.0,Kevin Durant,MAKE,2,16 ft
32.4 ft,14.2 ft,1,01:49.0,Kevin Durant,MISS,2,14 ft
12.1 ft,25.3 ft,1,01:22.0,Kevin Durant,MISS,3,25 ft
14.7 ft,7.96 ft,1,00:48.0,Kevin Durant,MISS,2,10 ft
30.8 ft,28.4 ft,2,03:21.0,Kevin Durant,MISS,3,26 ft
25.7 ft,4.18 ft,2,02:40.0,Kevin Durant,MAKE,2,2 ft
10.8 ft,11.6 ft,2,02:09.0,Kevin Durant,MISS,2,16 ft
19.2 ft,9.65 ft,2,00:42.0,Kevin Durant,MISS,2,8 ft
15.5 ft,10.5 ft,2,00:19.0,Kevin Durant,MISS,2,11 ft
47.4 ft,11.4 ft,3,11:34.0,Kevin Durant,MAKE,3,25 ft
23.5 ft,8.46 ft,3,08:37.0,Kevin Durant,MISS,2,5 ft
12.4 ft,26.5 ft,3,07:41.0,Kevin Durant,MAKE,3,26 ft
19.2 ft,7.86 ft,3,06:06.0,Kevin Durant,MAKE,2,7 ft
25.7 ft,3.98 ft,3,03:45.0,Kevin Durant,MAKE,2,2 ft
24.2 ft,13.7 ft,3,02:47.0,Kevin Durant,MAKE,2,11 ft
36.5 ft,25.9 ft,4,06:00.0,Kevin Durant,MISS,3,26 ft
19.2 ft,11.9 ft,4,05:30.0,Kevin Durant,MAKE,2,10 ft
12.5 ft,7.56 ft,4,04:23.0,Kevin Durant,MISS,2,12 ft
19.8 ft,7.06 ft,4,03:38.0,Kevin Durant,MISS,2,6 ft
21.3 ft,4.28 ft,4,03:12.0,Kevin Durant,MISS,2,3 ft
17.4 ft,3.98 ft,4,02:37.0,Kevin Durant,MAKE,2,7 ft
38.8 ft,25.4 ft,4,01:54.0,Kevin Durant,MISS,3,27 ft
15.9 ft,8.86 ft,4,01:13.0,Kevin Durant,MAKE,2,10 ft
15.0 ft,19.8 ft,4,00:24.0,Kevin Durant,MISS,2,19 ft
22.1 ft,4.28 ft,4,00:13.0,Kevin Durant,MAKE,2,2 ft
18.7 ft,14.5 ft,1,08:32.0,Kevin Durant,MISS,2,13 ft
19.6 ft,28.7 ft,1,08:04.0,Kevin Durant,MISS,3,26 ft
14.0 ft,13.2 ft,1,07:18.0,Kevin Durant,MAKE,2,14 ft
17.1 ft,28.2 ft,1,06:43.0,Kevin Durant,MAKE,3,26 ft
1.40 ft,3.18 ft,1,04:12.0,Kevin Durant,MISS,3,23 ft
23.1 ft,19.7 ft,1,03:43.0,Kevin Durant,MAKE,2,17 ft
18.9 ft,17.6 ft,1,00:44.0,Kevin Durant,MAKE,2,15 ft
36.0 ft,9.75 ft,2,06:01.0,Kevin Durant,MISS,2,14 ft
22.3 ft,10.3 ft,2,04:59.0,Kevin Durant,MISS,2,7 ft
17.5 ft,17.9 ft,2,03:42.0,Kevin Durant,MAKE,2,16 ft
11.7 ft,25.6 ft,2,01:53.0,Kevin Durant,MISS,3,26 ft
26.5 ft,5.47 ft,2,00:10.0,Kevin Durant,MAKE,2,3 ft
24.2 ft,4.18 ft,3,10:15.0,Kevin Durant,MAKE,2,1 ft
17.7 ft,10.8 ft,3,06:18.0,Kevin Durant,MISS,2,10 ft
23.9 ft,18.4 ft,3,05:05.0,Kevin Durant,MISS,2,15 ft
38.0 ft,23.5 ft,3,03:57.0,Kevin Durant,MAKE,3,25 ft
8.0 ft,23.2 ft,3,01:47.0,Kevin Durant,MAKE,3,26 ft
23.7 ft,5.77 ft,3,00:18.0,Kevin Durant,MAKE,2,3 ft
23.3 ft,8.46 ft,4,03:59.0,Kevin Durant,MAKE,2,5 ft
13.2 ft,27.0 ft,1,11:01.0,Kevin Durant,MAKE,3,26 ft
31.9 ft,27.5 ft,1,08:23.0,Kevin Durant,MISS,3,26 ft
24.7 ft,11.7 ft,1,06:14.0,Kevin Durant,MISS,2,9 ft
21.0 ft,22.0 ft,1,04:50.0,Kevin Durant,MAKE,2,19 ft
29.4 ft,11.5 ft,2,03:27.0,Kevin Durant,MAKE,2,10 ft
8.20 ft,22.7 ft,2,03:00.0,Kevin Durant,MISS,3,25 ft
27.0 ft,17.4 ft,2,02:43.0,Kevin Durant,MAKE,2,15 ft
19.8 ft,5.17 ft,2,00:06.0,Kevin Durant,MAKE,2,5 ft
36.3 ft,24.9 ft,3,11:32.0,Kevin Durant,MISS,3,25 ft
36.0 ft,18.7 ft,3,09:55.0,Kevin Durant,MAKE,2,20 ft
7.7 ft,21.9 ft,3,07:02.0,Kevin Durant,MAKE,3,25 ft
23.2 ft,4.87 ft,3,04:56.0,Kevin Durant,MISS,2,2 ft
22.2 ft,3.28 ft,3,03:27.0,Kevin Durant,MAKE,2,2 ft
35.3 ft,19.9 ft,3,00:58.0,Kevin Durant,MAKE,2,20 ft
23.5 ft,11.4 ft,3,00:27.0,Kevin Durant,MISS,2,8 ft
17.2 ft,28.7 ft,3,00:03.0,Kevin Durant,MISS,3,27 ft
22.7 ft,17.1 ft,4,08:35.0,Kevin Durant,MISS,2,14 ft
16.0 ft,6.17 ft,4,07:45.0,Kevin Durant,MAKE,2,9 ft
16.8 ft,3.68 ft,4,06:38.0,Kevin Durant,MISS,2,7 ft
36.3 ft,15.1 ft,4,06:06.0,Kevin Durant,MISS,2,17 ft
24.0 ft,3.28 ft,4,05:52.0,Kevin Durant,MAKE,2,0 ft
10.2 ft,8.96 ft,4,05:09.0,Kevin Durant,MAKE,2,15 ft
3.2 ft,17.4 ft,4,04:27.0,Kevin Durant,MAKE,3,25 ft
