x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE,team
11.4 ft,26.7 ft,4.0,4:31.0,Kevin Durant,MAKE,3.0,27 ft,
24.6 ft,15.5 ft,4.0,3:46.0,Kevin Durant,MAKE,2.0,12 ft,
11.6 ft,10.0 ft,1.0,11:44.0,Kevin Durant,MISS,2.0,14 ft,
20.5 ft,31.1 ft,1.0,11:21.0,Kevin Durant,MAKE,3.0,28 ft,
41.0 ft,24.2 ft,1.0,8:57.0,Kevin Durant,MAKE,3.0,27 ft,
22.0 ft,19.4 ft,1.0,6:54.0,Kevin Durant,MAKE,2.0,16 ft,
41.4 ft,10.0 ft,1.0,3:19.0,Kevin Durant,MISS,2.0,19 ft,
34.6 ft,29.9 ft,2.0,6:15.0,Kevin Durant,MISS,3.0,29 ft,
34.3 ft,15.7 ft,2.0,5:26.0,Kevin Durant,MAKE,2.0,16 ft,
8.3 ft,7.26 ft,2.0,4:47.0,Kevin Durant,MAKE,2.0,16 ft,
27.6 ft,5.87 ft,2.0,2:48.0,Kevin Durant,MAKE,2.0,4 ft,
22.6 ft,17.9 ft,2.0,1:57.0,Kevin Durant,MISS,2.0,15 ft,
11.4 ft,13.7 ft,2.0,1:10.0,Kevin Durant,MAKE,2.0,16 ft,
24.6 ft,14.7 ft,3.0,8:05.0,Kevin Durant,MISS,2.0,12 ft,
31.7 ft,15.9 ft,3.0,7:18.0,Kevin Durant,MAKE,2.0,15 ft,
26.9 ft,6.37 ft,3.0,6:52.0,Kevin Durant,MISS,2.0,4 ft,
9.70 ft,5.67 ft,3.0,5:07.0,Kevin Durant,MAKE,2.0,14 ft,
19.4 ft,2.88 ft,3.0,1:40.0,Kevin Durant,MAKE,2.0,5 ft,
9.5 ft,27.8 ft,4.0,6:17.0,Kevin Durant,MISS,3.0,29 ft,
42.3 ft,2.29 ft,4.0,3:49.0,Kevin Durant,MISS,2.0,18 ft,
11.8 ft,3.78 ft,4.0,3:19.0,Kevin Durant,MAKE,2.0,12 ft,
37.7 ft,5.87 ft,1.0,11:19.0,Kevin Durant,MAKE,2.0,14 ft,
25.7 ft,5.07 ft,1.0,8:48.0,Kevin Durant,MAKE,2.0,2 ft,
23.7 ft,4.68 ft,1.0,5:16.0,Kevin Durant,MAKE,2.0,1 ft,
31.4 ft,5.77 ft,2.0,5:07.0,Kevin Durant,MAKE,2.0,8 ft,
36.4 ft,16.8 ft,2.0,3:15.0,Kevin Durant,MAKE,2.0,18 ft,
15.6 ft,8.36 ft,2.0,1:35.0,Kevin Durant,MISS,2.0,10 ft,
29.0 ft,17.2 ft,2.0,1:14.0,Kevin Durant,MISS,2.0,15 ft,
35.4 ft,6.17 ft,3.0,10:28.0,Kevin Durant,MAKE,2.0,12 ft,
21.2 ft,17.6 ft,3.0,3:30.0,Kevin Durant,MAKE,2.0,15 ft,
25.0 ft,3.58 ft,3.0,2:43.0,Kevin Durant,MAKE,2.0,1 ft,
31.2 ft,2.58 ft,4.0,6:41.0,Kevin Durant,MAKE,2.0,7 ft,
27.5 ft,23.6 ft,4.0,2:58.0,Kevin Durant,MAKE,2.0,21 ft,
13.7 ft,28.3 ft,4.0,1:55.0,Kevin Durant,MAKE,3.0,27 ft,
15.0 ft,27.6 ft,1.0,0:42.0,Kevin Durant,MISS,3.0,26 ft,
12.3 ft,3.88 ft,2.0,11:27.0,Kevin Durant,MISS,2.0,12 ft,
24.6 ft,3.68 ft,2.0,11:09.0,Kevin Durant,MAKE,2.0,1 ft,
18.0 ft,13.1 ft,2.0,5:21.0,Kevin Durant,MAKE,2.0,12 ft,
40.8 ft,23.0 ft,2.0,4:18.0,Kevin Durant,MAKE,3.0,26 ft,
33.4 ft,13.1 ft,2.0,2:10.0,Kevin Durant,MISS,2.0,14 ft,
22.0 ft,28.1 ft,3.0,10:57.0,Kevin Durant,MISS,3.0,25 ft,
16.6 ft,7.86 ft,3.0,10:04.0,Kevin Durant,MISS,2.0,9 ft,
26.6 ft,4.77 ft,1.0,10:54.0,Kevin Durant,MISS,2.0,3 ft,
25.7 ft,13.2 ft,1.0,9:41.0,Kevin Durant,MISS,2.0,10 ft,
20.2 ft,1.09 ft,1.0,9:07.0,Kevin Durant,MISS,2.0,4 ft,
15.2 ft,22.2 ft,1.0,5:49.0,Kevin Durant,MAKE,2.0,21 ft,
42.8 ft,24.9 ft,1.0,5:01.0,Kevin Durant,MISS,3.0,29 ft,
11.8 ft,2.19 ft,1.0,4:37.0,Kevin Durant,MAKE,2.0,12 ft,
28.7 ft,6.97 ft,1.0,3:39.0,Kevin Durant,MISS,2.0,6 ft,
38.3 ft,24.4 ft,1.0,3:32.0,Kevin Durant,MISS,3.0,26 ft,
9.2 ft,0.69 ft,1.0,0:29.0,Kevin Durant,MAKE,2.0,15 ft,
27.6 ft,30.1 ft,2.0,8:56.0,Kevin Durant,MAKE,3.0,27 ft,
37.3 ft,15.9 ft,2.0,4:21.0,Kevin Durant,MISS,2.0,18 ft,
27.8 ft,12.1 ft,2.0,3:37.0,Kevin Durant,MISS,2.0,10 ft,
47.1 ft,14.6 ft,2.0,1:32.0,Kevin Durant,MISS,3.0,26 ft,
11.0 ft,25.6 ft,3.0,10:24.0,Kevin Durant,MISS,3.0,26 ft,
18.7 ft,29.8 ft,3.0,7:07.0,Kevin Durant,MISS,3.0,27 ft,
28.2 ft,5.37 ft,3.0,6:23.0,Kevin Durant,MAKE,2.0,5 ft,
38.1 ft,14.6 ft,3.0,4:53.0,Kevin Durant,MAKE,2.0,18 ft,
17.1 ft,10.2 ft,3.0,4:01.0,Kevin Durant,MAKE,2.0,10 ft,
24.0 ft,5.97 ft,3.0,2:13.0,Kevin Durant,MAKE,2.0,3 ft,
16.6 ft,15.3 ft,2.0,6:42.0,Kevin Durant,MAKE,2.0,14 ft,
24.0 ft,2.38 ft,2.0,4:18.0,Kevin Durant,MAKE,2.0,1 ft,
31.2 ft,28.1 ft,3.0,11:16.0,Kevin Durant,MAKE,3.0,26 ft,
42.4 ft,20.7 ft,3.0,7:51.0,Kevin Durant,MAKE,3.0,25 ft,
24.0 ft,3.28 ft,3.0,0:45.0,Kevin Durant,MAKE,2.0,0 ft,
24.8 ft,4.08 ft,1.0,9:16.0,Kevin Durant,MAKE,2.0,1 ft,
44.1 ft,18.2 ft,1.0,8:15.0,Kevin Durant,MISS,3.0,25 ft,
24.6 ft,3.88 ft,1.0,7:08.0,Kevin Durant,MISS,2.0,1 ft,
31.2 ft,16.7 ft,1.0,5:55.0,Kevin Durant,MISS,2.0,15 ft,
35.8 ft,26.0 ft,2.0,7:46.0,Kevin Durant,MAKE,3.0,26 ft,
17.8 ft,11.7 ft,2.0,5:34.0,Kevin Durant,MAKE,2.0,11 ft,
24.0 ft,3.28 ft,2.0,4:00.0,Kevin Durant,MAKE,2.0,0 ft,
24.4 ft,3.68 ft,2.0,3:32.0,Kevin Durant,MAKE,2.0,1 ft,
29.4 ft,12.6 ft,3.0,11:43.0,Kevin Durant,MAKE,2.0,11 ft,
21.8 ft,7.16 ft,3.0,10:37.0,Kevin Durant,MISS,2.0,4 ft,
23.5 ft,9.55 ft,3.0,9:54.0,Kevin Durant,MISS,2.0,6 ft,
10.2 ft,10.2 ft,3.0,9:13.0,Kevin Durant,MISS,2.0,15 ft,
25.3 ft,3.58 ft,3.0,8:52.0,Kevin Durant,MAKE,2.0,1 ft,
15.1 ft,25.6 ft,3.0,0:07.0,Kevin Durant,MISS,3.0,24 ft,
39.3 ft,23.7 ft,4.0,8:42.0,Kevin Durant,MISS,3.0,26 ft,
30.7 ft,6.47 ft,4.0,6:31.0,Kevin Durant,MISS,2.0,7 ft,
29.2 ft,13.8 ft,4.0,6:00.0,Kevin Durant,MAKE,2.0,12 ft,
47.0 ft,6.17 ft,1.0,9:32.0,Kevin Durant,MAKE,3.0,23 ft,
34.8 ft,4.18 ft,1.0,8:10.0,Kevin Durant,MAKE,2.0,11 ft,
10.5 ft,24.6 ft,1.0,7:27.0,Kevin Durant,MAKE,3.0,25 ft,
25.8 ft,13.2 ft,2.0,6:18.0,Kevin Durant,MISS,2.0,10 ft,
31.2 ft,11.7 ft,2.0,4:48.0,Kevin Durant,MAKE,2.0,11 ft,
33.5 ft,26.1 ft,2.0,2:13.0,Kevin Durant,MISS,3.0,25 ft,
23.3 ft,16.4 ft,2.0,1:48.0,Kevin Durant,MAKE,2.0,13 ft,
35.5 ft,4.58 ft,2.0,0:35.0,Kevin Durant,MISS,2.0,12 ft,
23.7 ft,28.3 ft,3.0,11:08.0,Kevin Durant,MISS,3.0,25 ft,
16.1 ft,27.2 ft,3.0,9:27.0,Kevin Durant,MAKE,3.0,25 ft,
23.7 ft,10.4 ft,3.0,9:03.0,Kevin Durant,MAKE,2.0,7 ft,
23.9 ft,20.5 ft,3.0,4:27.0,Kevin Durant,MAKE,2.0,17 ft,
30.9 ft,14.7 ft,3.0,1:37.0,Kevin Durant,MAKE,2.0,13 ft,
24.0 ft,25.8 ft,3.0,0:09.0,Kevin Durant,MAKE,2.0,23 ft,
38.3 ft,23.9 ft,4.0,10:49.0,Kevin Durant,MAKE,3.0,25 ft,
38.2 ft,24.5 ft,1.0,5:34.0,Kevin Durant,MISS,3.0,26 ft,
31.9 ft,14.3 ft,2.0,6:03.0,Kevin Durant,MAKE,2.0,14 ft,
36.0 ft,25.4 ft,2.0,3:48.0,Kevin Durant,MAKE,3.0,25 ft,
23.7 ft,8.16 ft,2.0,1:55.0,Kevin Durant,MISS,2.0,5 ft,
23.9 ft,29.0 ft,2.0,0:40.0,Kevin Durant,MAKE,3.0,26 ft,
25.3 ft,3.68 ft,3.0,10:13.0,Kevin Durant,MAKE,2.0,1 ft,
32.8 ft,26.5 ft,3.0,9:29.0,Kevin Durant,MISS,3.0,25 ft,
23.9 ft,4.68 ft,3.0,7:43.0,Kevin Durant,MAKE,2.0,1 ft,
35.6 ft,4.77 ft,3.0,7:06.0,Kevin Durant,MAKE,2.0,12 ft,
26.3 ft,27.8 ft,3.0,5:24.0,Kevin Durant,MAKE,3.0,25 ft,
16.3 ft,13.6 ft,4.0,7:14.0,Kevin Durant,MAKE,2.0,13 ft,
25.4 ft,16.8 ft,4.0,3:33.0,Kevin Durant,MISS,2.0,14 ft,
31.6 ft,28.5 ft,1.0,11:26.0,Kevin Durant,MAKE,3.0,27 ft,
26.2 ft,28.1 ft,1.0,10:52.0,Kevin Durant,MAKE,3.0,25 ft,
22.7 ft,14.2 ft,1.0,9:17.0,Kevin Durant,MAKE,2.0,11 ft,
21.0 ft,8.56 ft,2.0,6:05.0,Kevin Durant,MAKE,2.0,6 ft,
33.0 ft,16.8 ft,2.0,5:33.0,Kevin Durant,MISS,2.0,16 ft,
24.3 ft,10.5 ft,2.0,4:53.0,Kevin Durant,MISS,2.0,7 ft,
47.0 ft,4.18 ft,2.0,4:44.0,Kevin Durant,MISS,3.0,23 ft,
24.3 ft,7.86 ft,2.0,4:12.0,Kevin Durant,MAKE,2.0,5 ft,
19.5 ft,14.1 ft,2.0,3:40.0,Kevin Durant,MISS,2.0,12 ft,
22.1 ft,2.88 ft,2.0,2:07.0,Kevin Durant,MAKE,2.0,2 ft,
16.7 ft,7.16 ft,2.0,0:36.0,Kevin Durant,MAKE,2.0,8 ft,
20.3 ft,2.58 ft,2.0,0:00.0,Kevin Durant,MISS,2.0,4 ft,
22.2 ft,8.76 ft,3.0,9:19.0,Kevin Durant,MISS,2.0,6 ft,
15.2 ft,19.7 ft,3.0,8:11.0,Kevin Durant,MAKE,2.0,19 ft,
24.4 ft,3.08 ft,3.0,6:48.0,Kevin Durant,MAKE,2.0,0 ft,
27.7 ft,4.87 ft,3.0,3:36.0,Kevin Durant,MAKE,2.0,4 ft,
42.6 ft,22.2 ft,3.0,2:11.0,Kevin Durant,MAKE,3.0,27 ft,
20.7 ft,7.66 ft,4.0,11:45.0,Kevin Durant,MAKE,2.0,6 ft,
24.0 ft,29.8 ft,4.0,11:18.0,Kevin Durant,MAKE,3.0,27 ft,
28.7 ft,4.28 ft,4.0,10:04.0,Kevin Durant,MISS,2.0,5 ft,
13.4 ft,14.5 ft,4.0,7:25.0,Kevin Durant,MAKE,2.0,16 ft,
27.9 ft,20.9 ft,4.0,6:22.0,Kevin Durant,MISS,2.0,18 ft,
23.9 ft,12.2 ft,4.0,2:35.0,Kevin Durant,MISS,2.0,9 ft,
21.7 ft,4.28 ft,4.0,0:31.0,Kevin Durant,MAKE,2.0,3 ft,
14.4 ft,5.47 ft,1.0,5:55.0,Kevin Durant,MAKE,2.0,10 ft,
44.4 ft,17.2 ft,1.0,5:28.0,Kevin Durant,MAKE,3.0,25 ft,
39.2 ft,24.7 ft,3.0,11:42.0,Kevin Durant,MISS,3.0,26 ft,
7.1 ft,22.0 ft,3.0,4:23.0,Kevin Durant,MAKE,3.0,25 ft,
9.6 ft,25.6 ft,3.0,3:45.0,Kevin Durant,MISS,3.0,27 ft,
29.2 ft,16.2 ft,4.0,2:19.0,Kevin Durant,MAKE,2.0,14 ft,
47.0 ft,4.28 ft,4.0,1:47.0,Kevin Durant,MAKE,3.0,23 ft,
9.6 ft,8.56 ft,1.0,11:45.0,Kevin Durant,MISS,2.0,15 ft,
13.7 ft,6.97 ft,1.0,9:46.0,Kevin Durant,MISS,2.0,11 ft,
27.3 ft,5.67 ft,1.0,8:27.0,Kevin Durant,MAKE,2.0,4 ft,
12.0 ft,4.97 ft,1.0,6:55.0,Kevin Durant,MAKE,2.0,12 ft,
21.6 ft,3.38 ft,1.0,6:19.0,Kevin Durant,MAKE,2.0,2 ft,
2.0 ft,15.8 ft,1.0,2:24.0,Kevin Durant,MISS,3.0,25 ft,
12.2 ft,5.27 ft,2.0,5:32.0,Kevin Durant,MAKE,2.0,12 ft,
23.1 ft,29.1 ft,2.0,3:58.0,Kevin Durant,MISS,3.0,26 ft,
24.5 ft,3.58 ft,2.0,2:34.0,Kevin Durant,MAKE,2.0,1 ft,
27.0 ft,4.28 ft,3.0,11:00.0,Kevin Durant,MAKE,2.0,3 ft,
35.8 ft,26.0 ft,3.0,10:11.0,Kevin Durant,MAKE,3.0,26 ft,
26.3 ft,4.58 ft,3.0,7:15.0,Kevin Durant,MAKE,2.0,3 ft,
30.8 ft,15.9 ft,3.0,6:52.0,Kevin Durant,MAKE,2.0,14 ft,
24.6 ft,19.9 ft,3.0,6:25.0,Kevin Durant,MISS,2.0,17 ft,
23.3 ft,29.6 ft,3.0,5:02.0,Kevin Durant,MAKE,3.0,27 ft,
37.3 ft,3.58 ft,3.0,3:58.0,Kevin Durant,MAKE,2.0,13 ft,
7.39 ft,5.97 ft,3.0,2:31.0,Kevin Durant,MAKE,2.0,17 ft,
37.7 ft,3.88 ft,3.0,2:01.0,Kevin Durant,MAKE,2.0,14 ft,
36.0 ft,2.78 ft,4.0,6:51.0,Kevin Durant,MISS,2.0,12 ft,
36.6 ft,11.4 ft,4.0,6:28.0,Kevin Durant,MAKE,2.0,15 ft,
33.8 ft,15.9 ft,4.0,5:30.0,Kevin Durant,MISS,2.0,16 ft,
30.0 ft,12.2 ft,4.0,4:41.0,Kevin Durant,MAKE,2.0,11 ft,
17.9 ft,21.2 ft,4.0,3:35.0,Kevin Durant,MISS,2.0,19 ft,
24.6 ft,3.88 ft,4.0,2:02.0,Kevin Durant,MAKE,2.0,1 ft,
35.3 ft,26.6 ft,1.0,10:32.0,Kevin Durant,MISS,3.0,26 ft,
30.0 ft,3.58 ft,1.0,10:25.0,Kevin Durant,MISS,2.0,6 ft,
32.4 ft,15.5 ft,1.0,8:53.0,Kevin Durant,MISS,2.0,15 ft,
29.2 ft,9.75 ft,1.0,7:33.0,Kevin Durant,MAKE,2.0,8 ft,
36.3 ft,3.78 ft,1.0,4:53.0,Kevin Durant,MAKE,2.0,12 ft,
38.1 ft,4.18 ft,1.0,4:31.0,Kevin Durant,MAKE,2.0,14 ft,
2.7 ft,17.1 ft,1.0,0:20.0,Kevin Durant,MISS,3.0,25 ft,
10.5 ft,3.88 ft,2.0,9:32.0,Kevin Durant,MISS,2.0,14 ft,
28.7 ft,19.9 ft,2.0,9:07.0,Kevin Durant,MISS,2.0,17 ft,
20.7 ft,4.77 ft,2.0,8:48.0,Kevin Durant,MAKE,2.0,4 ft,
15.2 ft,31.1 ft,2.0,8:21.0,Kevin Durant,MAKE,3.0,29 ft,
31.4 ft,4.68 ft,2.0,7:40.0,Kevin Durant,MAKE,2.0,8 ft,
21.4 ft,15.3 ft,2.0,5:22.0,Kevin Durant,MISS,2.0,12 ft,
5.2 ft,23.0 ft,2.0,5:03.0,Kevin Durant,MISS,3.0,27 ft,
27.2 ft,18.1 ft,2.0,1:21.0,Kevin Durant,MAKE,2.0,15 ft,
13.4 ft,29.1 ft,2.0,0:23.0,Kevin Durant,MAKE,3.0,28 ft,
14.0 ft,16.1 ft,3.0,11:11.0,Kevin Durant,MISS,2.0,16 ft,
2.80 ft,17.7 ft,3.0,9:29.0,Kevin Durant,MAKE,3.0,26 ft,
21.8 ft,6.17 ft,3.0,8:25.0,Kevin Durant,MISS,2.0,4 ft,
32.8 ft,4.28 ft,3.0,7:20.0,Kevin Durant,MAKE,2.0,9 ft,
17.8 ft,28.2 ft,3.0,6:30.0,Kevin Durant,MAKE,3.0,26 ft,
20.7 ft,20.9 ft,3.0,3:55.0,Kevin Durant,MAKE,2.0,18 ft,
27.6 ft,30.1 ft,3.0,1:30.0,Kevin Durant,MAKE,3.0,27 ft,
13.8 ft,9.26 ft,3.0,0:21.0,Kevin Durant,MISS,2.0,12 ft,
31.2 ft,16.7 ft,4.0,8:58.0,Kevin Durant,MISS,2.0,15 ft,
13.7 ft,28.2 ft,4.0,7:20.0,Kevin Durant,MAKE,3.0,27 ft,
32.3 ft,14.7 ft,4.0,6:02.0,Kevin Durant,MAKE,2.0,14 ft,
17.2 ft,28.5 ft,4.0,5:26.0,Kevin Durant,MISS,3.0,26 ft,
35.6 ft,29.6 ft,4.0,4:24.0,Kevin Durant,MAKE,3.0,29 ft,
19.9 ft,13.8 ft,4.0,3:33.0,Kevin Durant,MISS,2.0,11 ft,
31.5 ft,20.7 ft,4.0,1:56.0,Kevin Durant,MISS,2.0,19 ft,
35.4 ft,29.8 ft,4.0,0:28.0,Kevin Durant,MISS,3.0,29 ft,
27.5 ft,30.1 ft,4.0,0:00.0,Kevin Durant,MISS,3.0,27 ft,
20.2 ft,4.58 ft,1.0,10:52.0,Kevin Durant,MAKE,2.0,4 ft,
40.6 ft,11.9 ft,1.0,10:11.0,Kevin Durant,MISS,2.0,19 ft,
42.5 ft,23.9 ft,1.0,8:47.0,Kevin Durant,MAKE,3.0,28 ft,
17.1 ft,12.2 ft,1.0,3:21.0,Kevin Durant,MAKE,2.0,11 ft,
38.9 ft,4.58 ft,1.0,0:03.0,Kevin Durant,MAKE,2.0,15 ft,
18.2 ft,21.9 ft,2.0,8:07.0,Kevin Durant,MAKE,2.0,20 ft,
20.9 ft,20.7 ft,2.0,7:41.0,Kevin Durant,MAKE,2.0,18 ft,
35.3 ft,4.58 ft,2.0,2:39.0,Kevin Durant,MISS,2.0,11 ft,
35.8 ft,26.3 ft,2.0,1:21.0,Kevin Durant,MISS,3.0,26 ft,
30.8 ft,29.9 ft,3.0,10:20.0,Kevin Durant,MAKE,3.0,28 ft,
39.8 ft,10.2 ft,3.0,9:16.0,Kevin Durant,MISS,2.0,17 ft,
31.8 ft,17.4 ft,3.0,6:03.0,Kevin Durant,MISS,2.0,16 ft,
23.4 ft,4.18 ft,3.0,5:50.0,Kevin Durant,MAKE,2.0,1 ft,
11.8 ft,3.58 ft,3.0,3:00.0,Kevin Durant,MISS,2.0,12 ft,
15.5 ft,28.2 ft,3.0,2:12.0,Kevin Durant,MAKE,3.0,27 ft,
14.0 ft,29.4 ft,3.0,0:54.0,Kevin Durant,MAKE,3.0,28 ft,
12.5 ft,6.17 ft,4.0,7:31.0,Kevin Durant,MISS,2.0,12 ft,
28.0 ft,29.8 ft,4.0,7:01.0,Kevin Durant,MISS,3.0,27 ft,
32.6 ft,20.4 ft,4.0,4:02.0,Kevin Durant,MISS,2.0,19 ft,
23.5 ft,5.17 ft,4.0,2:39.0,Kevin Durant,MAKE,2.0,2 ft,
39.5 ft,27.3 ft,4.0,1:13.0,Kevin Durant,MISS,3.0,29 ft,
41.6 ft,26.8 ft,4.0,1:08.0,Kevin Durant,MISS,3.0,30 ft,
46.0 ft,13.2 ft,1.0,10:54.0,Kevin Durant,MISS,3.0,24 ft,
23.9 ft,10.5 ft,1.0,7:52.0,Kevin Durant,MISS,2.0,7 ft,
35.8 ft,8.16 ft,1.0,5:45.0,Kevin Durant,MISS,2.0,13 ft,
34.2 ft,18.8 ft,1.0,5:30.0,Kevin Durant,MAKE,2.0,19 ft,
24.0 ft,3.68 ft,1.0,4:56.0,Kevin Durant,MAKE,2.0,0 ft,
27.0 ft,6.97 ft,1.0,1:21.0,Kevin Durant,MAKE,2.0,5 ft,
28.9 ft,6.07 ft,2.0,10:52.0,Kevin Durant,MISS,2.0,6 ft,
32.4 ft,16.7 ft,2.0,9:50.0,Kevin Durant,MISS,2.0,16 ft,
19.4 ft,14.1 ft,2.0,8:10.0,Kevin Durant,MAKE,2.0,12 ft,
12.2 ft,18.4 ft,2.0,6:38.0,Kevin Durant,MAKE,2.0,19 ft,
19.9 ft,12.6 ft,2.0,4:44.0,Kevin Durant,MAKE,2.0,10 ft,
27.6 ft,27.8 ft,3.0,11:17.0,Kevin Durant,MISS,3.0,25 ft,
32.2 ft,8.46 ft,3.0,8:40.0,Kevin Durant,MISS,2.0,10 ft,
35.4 ft,25.3 ft,3.0,6:28.0,Kevin Durant,MISS,3.0,25 ft,
31.5 ft,18.1 ft,4.0,8:26.0,Kevin Durant,MISS,2.0,17 ft,
36.6 ft,25.2 ft,4.0,6:58.0,Kevin Durant,MISS,3.0,25 ft,
26.3 ft,14.2 ft,4.0,6:17.0,Kevin Durant,MISS,2.0,11 ft,
12.2 ft,9.45 ft,4.0,4:11.0,Kevin Durant,MISS,2.0,13 ft,
33.0 ft,14.7 ft,4.0,3:36.0,Kevin Durant,MAKE,2.0,15 ft,
34.1 ft,4.18 ft,4.0,2:50.0,Kevin Durant,MISS,2.0,10 ft,
29.7 ft,4.68 ft,4.0,2:16.0,Kevin Durant,MISS,2.0,6 ft,
36.7 ft,16.4 ft,1.0,8:34.0,Kevin Durant,MAKE,2.0,18 ft,
23.7 ft,4.18 ft,1.0,4:33.0,Kevin Durant,MAKE,2.0,1 ft,
31.5 ft,14.2 ft,2.0,11:51.0,Kevin Durant,MISS,2.0,13 ft,
13.7 ft,26.3 ft,2.0,9:32.0,Kevin Durant,MAKE,3.0,25 ft,
32.8 ft,11.6 ft,2.0,9:05.0,Kevin Durant,MAKE,2.0,12 ft,
23.2 ft,3.78 ft,2.0,4:04.0,Kevin Durant,MAKE,2.0,1 ft,
35.3 ft,18.1 ft,2.0,3:24.0,Kevin Durant,MISS,2.0,19 ft,
38.7 ft,24.9 ft,3.0,7:32.0,Kevin Durant,MISS,3.0,26 ft,
1.0 ft,4.28 ft,3.0,2:46.0,Kevin Durant,MAKE,3.0,23 ft,
36.6 ft,24.9 ft,3.0,0:46.0,Kevin Durant,MISS,3.0,25 ft,
26.8 ft,28.6 ft,4.0,7:56.0,Kevin Durant,MAKE,3.0,26 ft,
42.6 ft,21.0 ft,4.0,7:19.0,Kevin Durant,MISS,3.0,26 ft,
24.3 ft,3.78 ft,4.0,5:12.0,Kevin Durant,MAKE,2.0,1 ft,
30.4 ft,15.2 ft,4.0,2:13.0,Kevin Durant,MAKE,2.0,14 ft,
24.4 ft,23.0 ft,1.0,10:18.0,Kevin Durant,MAKE,2.0,20 ft,
24.4 ft,18.1 ft,1.0,6:48.0,Kevin Durant,MISS,2.0,15 ft,
24.4 ft,3.58 ft,2.0,9:22.0,Kevin Durant,MAKE,2.0,1 ft,
24.6 ft,9.26 ft,2.0,7:55.0,Kevin Durant,MAKE,2.0,6 ft,
15.5 ft,6.37 ft,2.0,4:06.0,Kevin Durant,MAKE,2.0,9 ft,
32.5 ft,5.07 ft,2.0,0:05.0,Kevin Durant,MISS,2.0,9 ft,
31.7 ft,16.4 ft,3.0,11:01.0,Kevin Durant,MAKE,2.0,15 ft,
24.9 ft,17.1 ft,3.0,9:53.0,Kevin Durant,MAKE,2.0,14 ft,
18.2 ft,4.87 ft,3.0,8:32.0,Kevin Durant,MAKE,2.0,6 ft,
35.6 ft,27.3 ft,3.0,7:01.0,Kevin Durant,MISS,3.0,27 ft,
40.0 ft,23.7 ft,3.0,6:14.0,Kevin Durant,MAKE,3.0,26 ft,
32.8 ft,15.8 ft,3.0,4:18.0,Kevin Durant,MISS,2.0,15 ft,
39.0 ft,15.1 ft,4.0,2:54.0,Kevin Durant,MAKE,2.0,19 ft,
25.5 ft,3.08 ft,1.0,10:54.0,Kevin Durant,MAKE,2.0,2 ft,
11.4 ft,25.6 ft,1.0,6:38.0,Kevin Durant,MISS,3.0,26 ft,
27.6 ft,17.8 ft,1.0,5:27.0,Kevin Durant,MAKE,2.0,15 ft,
21.5 ft,28.1 ft,2.0,5:24.0,Kevin Durant,MISS,3.0,25 ft,
0.89 ft,2.88 ft,2.0,4:06.0,Kevin Durant,MISS,3.0,23 ft,
23.3 ft,3.38 ft,3.0,11:01.0,Kevin Durant,MAKE,2.0,1 ft,
26.0 ft,20.7 ft,3.0,4:50.0,Kevin Durant,MISS,2.0,18 ft,
22.8 ft,4.08 ft,4.0,7:56.0,Kevin Durant,MAKE,2.0,1 ft,
16.5 ft,8.96 ft,4.0,7:23.0,Kevin Durant,MISS,2.0,9 ft,
35.8 ft,26.0 ft,4.0,6:58.0,Kevin Durant,MISS,3.0,26 ft,
24.3 ft,28.2 ft,1.0,10:55.0,Kevin Durant,MISS,3.0,25 ft,
45.0 ft,15.9 ft,1.0,7:44.0,Kevin Durant,MISS,3.0,25 ft,
22.9 ft,3.68 ft,1.0,3:36.0,Kevin Durant,MISS,2.0,1 ft,
30.4 ft,13.6 ft,2.0,7:42.0,Kevin Durant,MISS,2.0,12 ft,
31.3 ft,12.7 ft,2.0,7:22.0,Kevin Durant,MISS,2.0,12 ft,
22.0 ft,7.46 ft,2.0,6:51.0,Kevin Durant,MAKE,2.0,5 ft,
25.2 ft,27.5 ft,2.0,5:29.0,Kevin Durant,MISS,3.0,24 ft,
35.1 ft,8.76 ft,2.0,4:35.0,Kevin Durant,MISS,2.0,12 ft,
13.7 ft,5.47 ft,2.0,4:00.0,Kevin Durant,MISS,2.0,10 ft,
25.7 ft,4.18 ft,2.0,2:32.0,Kevin Durant,MAKE,2.0,2 ft,
35.6 ft,25.2 ft,2.0,0:58.0,Kevin Durant,MISS,3.0,25 ft,
47.0 ft,9.75 ft,3.0,10:40.0,Kevin Durant,MISS,3.0,24 ft,
22.0 ft,7.86 ft,3.0,8:29.0,Kevin Durant,MAKE,2.0,5 ft,
22.5 ft,15.9 ft,3.0,8:05.0,Kevin Durant,MISS,2.0,13 ft,
19.9 ft,12.6 ft,3.0,6:13.0,Kevin Durant,MISS,2.0,10 ft,
46.5 ft,5.47 ft,3.0,5:11.0,Kevin Durant,MAKE,3.0,23 ft,
14.2 ft,14.6 ft,3.0,2:51.0,Kevin Durant,MISS,2.0,15 ft,
13.5 ft,3.68 ft,1.0,10:26.0,Kevin Durant,MAKE,2.0,11 ft,
26.5 ft,13.0 ft,2.0,6:23.0,Kevin Durant,MAKE,2.0,10 ft,
31.8 ft,19.5 ft,2.0,6:01.0,Kevin Durant,MAKE,2.0,18 ft,
24.7 ft,2.88 ft,2.0,1:17.0,Kevin Durant,MAKE,2.0,1 ft,
