x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE,team
36.1 ft,25.3 ft,4.0,1:08.0,Kevin Durant,MISS,3.0,25 ft,
25.7 ft,3.68 ft,4.0,0:15.0,Kevin Durant,MAKE,2.0,2 ft,
38.1 ft,4.38 ft,1.0,11:17.0,Kevin Durant,MISS,2.0,14 ft,
20.2 ft,11.7 ft,1.0,9:58.0,Kevin Durant,MAKE,2.0,9 ft,
21.4 ft,3.18 ft,1.0,9:08.0,Kevin Durant,MAKE,2.0,3 ft,
34.8 ft,26.2 ft,1.0,8:22.0,Kevin Durant,MISS,3.0,26 ft,
32.7 ft,8.66 ft,1.0,7:38.0,Kevin Durant,MAKE,2.0,10 ft,
41.5 ft,22.8 ft,1.0,6:48.0,Kevin Durant,MISS,3.0,26 ft,
29.2 ft,17.3 ft,1.0,2:30.0,Kevin Durant,MAKE,2.0,15 ft,
5.60 ft,22.0 ft,2.0,6:57.0,Kevin Durant,MAKE,3.0,26 ft,
11.1 ft,12.7 ft,2.0,6:28.0,Kevin Durant,MAKE,2.0,16 ft,
28.9 ft,28.3 ft,2.0,4:18.0,Kevin Durant,MISS,3.0,26 ft,
24.4 ft,4.68 ft,2.0,0:29.0,Kevin Durant,MAKE,2.0,1 ft,
20.3 ft,19.9 ft,3.0,10:07.0,Kevin Durant,MISS,2.0,17 ft,
24.7 ft,9.95 ft,3.0,9:39.0,Kevin Durant,MAKE,2.0,7 ft,
22.0 ft,29.1 ft,3.0,6:41.0,Kevin Durant,MISS,3.0,26 ft,
12.4 ft,3.28 ft,3.0,5:15.0,Kevin Durant,MISS,2.0,12 ft,
22.6 ft,29.1 ft,3.0,4:14.0,Kevin Durant,MISS,3.0,26 ft,
28.7 ft,6.27 ft,3.0,3:45.0,Kevin Durant,MISS,2.0,6 ft,
25.7 ft,27.6 ft,4.0,8:13.0,Kevin Durant,MAKE,3.0,25 ft,
28.7 ft,7.86 ft,4.0,7:01.0,Kevin Durant,MISS,2.0,7 ft,
20.5 ft,6.17 ft,4.0,6:13.0,Kevin Durant,MISS,2.0,4 ft,
27.8 ft,13.2 ft,4.0,5:42.0,Kevin Durant,MAKE,2.0,11 ft,
26.4 ft,29.3 ft,1.0,11:41.0,Kevin Durant,MISS,3.0,26 ft,
38.3 ft,14.2 ft,1.0,7:03.0,Kevin Durant,MISS,2.0,18 ft,
26.0 ft,11.7 ft,1.0,6:40.0,Kevin Durant,MAKE,2.0,9 ft,
38.8 ft,25.9 ft,2.0,7:22.0,Kevin Durant,MAKE,3.0,27 ft,
46.4 ft,12.8 ft,2.0,2:43.0,Kevin Durant,MISS,3.0,24 ft,
31.9 ft,2.88 ft,2.0,1:50.0,Kevin Durant,MAKE,2.0,8 ft,
26.4 ft,3.78 ft,2.0,0:58.0,Kevin Durant,MAKE,2.0,2 ft,
13.2 ft,27.5 ft,3.0,11:24.0,Kevin Durant,MAKE,3.0,27 ft,
17.8 ft,2.78 ft,3.0,6:09.0,Kevin Durant,MAKE,2.0,6 ft,
11.3 ft,24.6 ft,4.0,6:39.0,Kevin Durant,MISS,3.0,25 ft,
33.8 ft,9.06 ft,4.0,6:11.0,Kevin Durant,MAKE,2.0,11 ft,
23.1 ft,5.97 ft,4.0,5:07.0,Kevin Durant,MAKE,2.0,3 ft,
13.2 ft,27.6 ft,4.0,2:55.0,Kevin Durant,MISS,3.0,27 ft,
9.2 ft,25.5 ft,4.0,0:54.0,Kevin Durant,MISS,3.0,27 ft,
32.8 ft,10.7 ft,4.0,0:01.0,Kevin Durant,MISS,2.0,12 ft,
29.5 ft,29.1 ft,1.0,11:00.0,Kevin Durant,MISS,3.0,27 ft,
11.6 ft,25.7 ft,1.0,10:35.0,Kevin Durant,MISS,3.0,26 ft,
36.7 ft,6.27 ft,1.0,7:56.0,Kevin Durant,MAKE,2.0,13 ft,
38.7 ft,27.6 ft,1.0,5:15.0,Kevin Durant,MISS,3.0,29 ft,
35.6 ft,6.87 ft,1.0,4:11.0,Kevin Durant,MAKE,2.0,12 ft,
30.9 ft,4.87 ft,1.0,3:17.0,Kevin Durant,MAKE,2.0,7 ft,
30.2 ft,7.76 ft,2.0,5:34.0,Kevin Durant,MISS,2.0,8 ft,
27.3 ft,13.0 ft,2.0,4:21.0,Kevin Durant,MISS,2.0,10 ft,
24.8 ft,8.76 ft,2.0,3:02.0,Kevin Durant,MISS,2.0,6 ft,
27.2 ft,29.5 ft,2.0,0:29.0,Kevin Durant,MAKE,3.0,27 ft,
19.7 ft,7.16 ft,3.0,11:17.0,Kevin Durant,MISS,2.0,6 ft,
25.9 ft,3.18 ft,3.0,6:52.0,Kevin Durant,MAKE,2.0,2 ft,
32.8 ft,4.97 ft,3.0,4:51.0,Kevin Durant,MAKE,2.0,9 ft,
17.5 ft,5.67 ft,3.0,4:26.0,Kevin Durant,MISS,2.0,7 ft,
25.5 ft,3.38 ft,4.0,11:31.0,Kevin Durant,MAKE,2.0,2 ft,
38.8 ft,23.5 ft,4.0,8:44.0,Kevin Durant,MAKE,3.0,25 ft,
27.6 ft,28.9 ft,4.0,5:53.0,Kevin Durant,MISS,3.0,26 ft,
23.9 ft,3.68 ft,4.0,4:56.0,Kevin Durant,MAKE,2.0,0 ft,
39.3 ft,24.9 ft,4.0,4:06.0,Kevin Durant,MISS,3.0,27 ft,
22.4 ft,2.88 ft,4.0,2:54.0,Kevin Durant,MAKE,2.0,2 ft,
23.7 ft,3.38 ft,4.0,2:23.0,Kevin Durant,MAKE,2.0,0 ft,
34.2 ft,14.2 ft,1.0,11:03.0,Kevin Durant,MISS,2.0,15 ft,
31.7 ft,27.5 ft,1.0,11:00.0,Kevin Durant,MISS,3.0,26 ft,
19.9 ft,14.5 ft,1.0,10:24.0,Kevin Durant,MAKE,2.0,12 ft,
34.8 ft,5.77 ft,1.0,7:12.0,Kevin Durant,MISS,2.0,11 ft,
29.2 ft,5.87 ft,1.0,6:52.0,Kevin Durant,MAKE,2.0,6 ft,
23.7 ft,3.58 ft,1.0,5:18.0,Kevin Durant,MAKE,2.0,0 ft,
31.7 ft,27.5 ft,1.0,4:58.0,Kevin Durant,MISS,3.0,26 ft,
47.0 ft,6.27 ft,2.0,6:29.0,Kevin Durant,MAKE,3.0,23 ft,
33.5 ft,26.1 ft,2.0,0:48.0,Kevin Durant,MISS,3.0,25 ft,
7.5 ft,20.9 ft,3.0,10:14.0,Kevin Durant,MAKE,3.0,24 ft,
25.8 ft,2.68 ft,3.0,9:19.0,Kevin Durant,MAKE,2.0,2 ft,
12.7 ft,25.2 ft,3.0,8:46.0,Kevin Durant,MAKE,3.0,25 ft,
25.2 ft,4.18 ft,3.0,6:49.0,Kevin Durant,MAKE,2.0,1 ft,
23.9 ft,3.18 ft,3.0,5:55.0,Kevin Durant,MAKE,2.0,0 ft,
25.7 ft,3.38 ft,3.0,4:05.0,Kevin Durant,MAKE,2.0,2 ft,
39.6 ft,8.76 ft,4.0,3:08.0,Kevin Durant,MISS,2.0,17 ft,
21.6 ft,9.55 ft,4.0,1:14.0,Kevin Durant,MAKE,2.0,7 ft,
40.3 ft,22.2 ft,4.0,0:27.0,Kevin Durant,MAKE,3.0,25 ft,
37.3 ft,21.2 ft,1.0,11:45.0,Kevin Durant,MAKE,2.0,22 ft,
40.1 ft,3.18 ft,1.0,10:12.0,Kevin Durant,MISS,2.0,16 ft,
33.0 ft,21.2 ft,1.0,8:41.0,Kevin Durant,MISS,2.0,20 ft,
17.2 ft,6.27 ft,1.0,7:47.0,Kevin Durant,MAKE,2.0,7 ft,
39.8 ft,18.9 ft,1.0,7:10.0,Kevin Durant,MISS,2.0,22 ft,
30.7 ft,17.6 ft,1.0,6:32.0,Kevin Durant,MISS,2.0,16 ft,
39.5 ft,24.5 ft,1.0,5:52.0,Kevin Durant,MISS,3.0,26 ft,
35.6 ft,4.38 ft,1.0,3:07.0,Kevin Durant,MAKE,2.0,12 ft,
22.9 ft,28.5 ft,2.0,3:55.0,Kevin Durant,MAKE,3.0,25 ft,
27.3 ft,4.58 ft,2.0,2:44.0,Kevin Durant,MISS,2.0,4 ft,
24.3 ft,3.38 ft,2.0,0:47.0,Kevin Durant,MAKE,2.0,0 ft,
23.3 ft,29.1 ft,3.0,10:54.0,Kevin Durant,MISS,3.0,26 ft,
30.2 ft,22.2 ft,3.0,9:42.0,Kevin Durant,MISS,2.0,20 ft,
26.8 ft,19.4 ft,3.0,7:57.0,Kevin Durant,MAKE,2.0,16 ft,
34.3 ft,26.2 ft,3.0,5:48.0,Kevin Durant,MAKE,3.0,25 ft,
16.3 ft,14.8 ft,3.0,4:10.0,Kevin Durant,MAKE,2.0,14 ft,
17.0 ft,27.3 ft,3.0,3:23.0,Kevin Durant,MAKE,3.0,25 ft,
29.0 ft,18.3 ft,4.0,6:19.0,Kevin Durant,MAKE,2.0,16 ft,
14.2 ft,14.0 ft,1.0,11:03.0,Kevin Durant,MISS,2.0,15 ft,
37.9 ft,24.6 ft,1.0,10:08.0,Kevin Durant,MISS,3.0,26 ft,
23.7 ft,21.7 ft,1.0,9:46.0,Kevin Durant,MISS,2.0,19 ft,
37.4 ft,13.6 ft,1.0,7:09.0,Kevin Durant,MAKE,2.0,17 ft,
26.8 ft,17.7 ft,1.0,3:55.0,Kevin Durant,MISS,2.0,15 ft,
38.8 ft,7.86 ft,1.0,2:43.0,Kevin Durant,MAKE,2.0,16 ft,
16.2 ft,27.1 ft,2.0,7:52.0,Kevin Durant,MAKE,3.0,25 ft,
39.5 ft,22.0 ft,2.0,5:20.0,Kevin Durant,MISS,3.0,24 ft,
24.8 ft,1.39 ft,2.0,5:01.0,Kevin Durant,MISS,2.0,2 ft,
37.5 ft,5.47 ft,2.0,3:33.0,Kevin Durant,MAKE,2.0,14 ft,
26.2 ft,11.2 ft,2.0,1:58.0,Kevin Durant,MAKE,2.0,8 ft,
32.8 ft,19.7 ft,3.0,10:59.0,Kevin Durant,MISS,2.0,19 ft,
25.3 ft,3.68 ft,3.0,8:56.0,Kevin Durant,MAKE,2.0,1 ft,
